name,address,city,state,zip,phone,Facebook,Instagram,Twitter,Email
University of Minnesota Bookstores,"300 Washington Ave. SE, Coffman Memorial Union, Room G054",Minneapolis,MN,55455,(612)626-0559,https://www.facebook.com/uofmnbookstores/,uofmnbookstores,uofmnbookstores,ukest002@umn.edu
Midway Book Store,1579 University Ave West,St Paul,MN,55104,(651)644-7605,https://www.facebook.com/midwaybooks/,,,midwayb2@infionline.net
Pageturners Bookstore,101 East Salem Ave.,Indianola,IA,50125,(515)961-0391,https://www.facebook.com/pageturnersbookstore/,pageturners_bookstore,,info@pageturnersbookstore.com
Magers & Quinn Booksellers,3038 Hennepin Avenue,Minneapolis,MN,55408,(612)822-4611,https://www.facebook.com/magersandquinnbooksellers,magersandquinn/?hl=en,MagersAndQuinn,jessi@magersandquinn.com
Bookmarks,4302 Southeast 4th Street,Des Moines,IA,50315,(515)259-1901,https://www.facebook.com/BookmarksRetail,bookmarks_bookstore,Bookmarksretail,joeyhiggins_9@hotmail.com
The Book House - St. Louis,7352 Manchester Road,Maplewood,MO,63143,(314)968-4491,https://www.facebook.com/bookhousestl?fref=ts,thebookhousestl,BookHouseSTL,michelle@bookhousestl.com
The Well Read Raccoon Books & Curiosities,501 West Memorial Drive,Houghton,MI,49931,(906)370-5830,https://www.facebook.com/rockythewellreadraccoon,,,TheWellReadRaccoonBooks@gmail.com
Avant Garden,215 East Main Street,Anoka,MN,55303,(612)201-1291,https://www.facebook.com/AvantGardenAnoka/,avantgardenanoka,,avantgardenofanoka@gmail.com
Indigo Bridge,1624 S 17th St,Lincoln,NE,68502,,https://www.facebook.com/indigobridge,indigobridgelnk,BridgeIndigo,books@indigobridge.org
Piragis Northwoods,105 North Central Avenue,Ely,MN,55731,(218)365-6745,https://www.facebook.com/piragiselyminnesota/,,Boundary_Waters,jordyn@piragis.com
Boxcar Books,201 East Main Street,Hoopeston,IL,60942,2177721203,https://www.facebook.com/shopboxcarbooks,shopboxcarbooks,@shopboxcarbooks,shopboxcarbooks@gmail.com
Brown Babies Books,1555 Sherman Avenue,Evanston,IL,60201,(708)571-6929,https://www.facebook.com/brownbabiesbooks/,brownbabiesbooks,,info@brownbabiesbooks.com
Dragonfly Books,112 W Water Street,Decorah,IA,52101,(563)382-4275,https://www.facebook.com/dragonflybooks/,dragonflybooks,dragonflybooks,orders@dragonflybooks.com
Book Heads,214 E. Mill Street,Plymouth,WI,53073,(920)892-6657,https://www.facebook.com/book-heads-book-store-149029065128344/,,,bookheadsplymouth@gmail.com
Cream & Amber,1605 Mainstreet,Hopkins,MN,55343,(952)595-5640,https://www.facebook.com/creamandamber/,creamandamber,creamandamber,kacey@creamandamber.com
Beaverdale Books,"2629 Beaver Avenue, Suite 1",Des Moines,IA,50310,(515)279-5400,https://www.facebook.com/beaverdalebooks/,beaverdalebooks/,BeaverdaleBooks,beaverdalebooks@gmail.com
Dotters Books,1602 Hogeboom,Eau Claire,WI,54701,,https://www.facebook.com/dottersbooks/,dottersbooks/?hl=en,,dottersbooks@gmail.com
The Novel Neighbor,7905 Big Bend Blvd.,Webster Groves,MO,63119,(314)738-9384,https://www.facebook.com/novelneighbor/,novelneighbor,novelneighbor,hello@thenovelneighbor.com
North Wind Books,437 Quincy St,Hancock,MI,49930,(906)487-7217,https://www.facebook.com/northwindbooks/,northwindbooks/?hl=en,,bookstore@finlandia.edu
Abalabix Books,30 N Williams St,Crystal Lake,IL,60014,(815)893-6653,https://www.facebook.com/abalabixbookstore,abalabixbooks21,,abalabixbooks@gmail.com
Rooted MKE,5312 West Vliet Street,Milwaukee,WI,53208,(414)488-9545,https://www.facebook.com/RootedMKE.Tutoring/,https://www.instagram.com/rooted.mke/,,rootedmkebookstore@gmail.com
The Curiosity Shop,622 Franklin St,Pella,IA,50219,,,curisoityshop_pella,,tstaff@netins.net
Reader's World,1400 S. Limit Suite 70,Sedalia,MO,65301,(660)827-0940,https://www.facebook.com/readersworldsedalia,,,readersworldsedalia@gmail.com
Mind Chimes Bookshop,1766 Superior Street,Three Lakes,WI,54562,(715)546-4222,https://www.facebook.com/mindchimesbookshop,,,mindchimesbookshop@gmail.com
Bluebird Books,813 Washington Avenue,Detroit Lakes,MN,56501,(218)844-9208,https://www.facebook.com/bluebirdbooksmn,bluebirdbooksmn22,,bluebirdbooks22@outlook.com
WordHaven BookHouse,923 North 8th Street,Sheboygan,WI,53081,(920)395-2375,http://www.facebook.com/WordHaven/,@wordhaven_bookhouse,,wordhaven@kellydholstine.com
The Artsy Bookworm,1319 30th  Street,Rock Island,IL,61201,(309)558-0278,https://www.facebook.com/bookwormqc,bookwormqc,bookwormqc,contact@theartsybookworm.com
Babycake's Book Stack,,St Paul,MN,55102,(651)321-3436,https://www.facebook.com/babycakesbookstack/,babycakesbookstack,babycakesbooks,babycakesbookstack@gmail.com
Paperback Exchange,2227 W 50th Street,Minneapolis,MN,55419,(612)929-8801,https://www.facebook.com/pages/paperback-exchange/196735273715972?fref=ts,,,info@paperbackexchange.com
Neighborhood Reads,401 Lafayette St.,Washington,MO,63090,(636)390-9673,https://www.facebook.com/neighborhoodreads/,neighborhoodreads,WashMoBookstore,Dawn@neighborhoodreads.com
Helianthus Books,2101 W 144th St,Leawood,KS,66224,(913)735-0764,https://www.facebook.com/HelianthusBooksKC,helianthus.books,,kellystromberg45@gmail.com
Three Avenues Bookshop,1714 W Belmont Ave,Chicago,IL,60657,(978)760-2208,https://www.facebook.com/threeavenuesbookshop,threeavenuesbookshop,,threeavenuesbookshop@gmail.com
Francie & Finch Bookshop,130 S. 13th Street,Lincoln,NE,68508,(402)781-0459,https://www.facebook.com/francieandfinch/,francieandfinch,francieandfinch,leslie@francieandfinch.com
Zenith Bookstore,318 Central Ave N,Duluth,MN,55807,(218)606-1777,https://www.facebook.com/zenithbookstore/,zenithbookstore,,books@zenithbookstore.com
BookMarx,325 East Walnut Street,Springfield,MO,65806,(417)224-3211,https://www.facebook.com/bookmarxbooks,bookmarxbooks,BookMarxbooks,bookmarxbookshop@gmail.com
Mischief Toy,818 Grand Avenue,St Paul,MN,55105,(651)493-3307,https://www.facebook.com/mischieftoy,mischieftoy,,millie@mischieftoy.com
Hartfield Book Company,110 W Washington St,Monticello,IL,61856,(217)631-1900,https://www.facebook.com/hartfield-book-co-2060126177577620/,hartfieldbookco,HartfieldBooks,nicole@hartfieldbookco.com
The Book Deal,319 W. Beltline HWY Suite 111,Madison,WI,53713,(608)571-7575,https://www.facebook.com/thebookdeal/,thebookdeal,,hello@thebookdeal.com
Once Upon a Crime,604 W 26th Street,Minneapolis,MN,55405,(612)870-3785,https://www.facebook.com/once-upon-a-crime-117494361610725/?fref=nf,,onceuponacrime1,onceuponacrimebooks@gmail.com
Cherry Street Books,503 Broadway Street,Alexandria,MN,56308,(320)763-9400,https://www.facebook.com/pages/cherry-street-books-llc/111830402188241?fref=ts,cherrystreetbooks,cherrystreetbooks,cherrystreetbooks@gctel.net
Bound to Happen Books,1008 Main Street,Stevens Point,WI,54481,(715)997-9094,http://facebook.com/boundtohappenbooks,boundtohappen_books,,info@boundtohappenbooks.com
Driftless Books and Music,518 Walnut Street,Viroqua,WI,54665,(608)638-2665,https://www.facebook.com/driftlessbooks/,driftlessbooks/?hl=en,,driftlessbooks@gmail.com
Dungeon's Gate,2525 N Ankeny Blvd Ste. 101,Ankeny,IA,50023,(515)635-5170,https://www.facebook.com/dungeonsgate,dungeonsgate,,dungeonsgate@gmail.com
Chapter Two,120 East 2nd Street,Redwood Falls,MN,56283,(507)430-4184,https://www.facebook.com/Chapter-Two-106727378491549,,,chapter2andTables@gmail.com
Storyhouse Bookpub,505 East Grand Ave. Suite 102,Des Moines,IA,50309,(720)925-2808,https://www.facebook.com/storyhousebookpub,storyhousebookpub,,hello@storyhousebookpub.com
Terrace Books,2507 11th Street,Columbus,NE,68601,(402)606-4877,https://www.facebook.com/terracebookstore,terracebookstore,,info@terracebookstore.com
Lion's Mouth Bookstore,401 N Washington Street,Green Bay,WI,54301,(920)406-0200,https://www.facebook.com/lionsmouthbookstore,lions_mouth_bookstore/?hl=en,lionsmouthbooks?lang=en,amy@lionsmouthbookstore.com
The BookWorm Bookstore & More,110 S. Riverview St,Bellevue,IA,52031,(563)872-4802,https://www.facebook.com/pages/the-book-worm/102991347167?fref=ts&rf=643572022377733,,,bookworm@prestontel.com
Wild Rumpus,2720 W 43rd Street,Minneapolis,MN,55410,(612)920-5005,https://www.facebook.com/pages/wild-rumpus-books-for-young-readers/9195534681?fref=ts,wildrumpusbooksmpls/?hl=en,wildrumpusbooks,collette@wildrumpusbooks.com
Literatus & Co.,401 E Main St,Watertown,WI,53094,(920)390-4236,,,,wes@literatusbooks.com
Galena Book & Paper,306 S Main St,Galena,IL,61036,(815)281-9404,https://www.facebook.com/galenabooks/,galenabooks/?hl=en,GalenaBooks,jason.stauter@gmail.com
Next Page Books,1105 3rd St SE,Cedar Rapids,IA,52401,(319)247-2665,https://www.facebook.com/nextpagebooks/,nextpagebookscr/?hl=en,nextpagebookscr,npb.newbo@gmail.com
Book Fair Mike,Pop-up Book Fairs,Liberty,MO,64068,(816)560-9827,,,,michael@bookfairmike.com
Blue House Books,5915 6th Avenue A,Kenosha,WI,53140,(262)612-5525,https://www.facebook.com/bhbkenosha/,bhbkenosha/?hl=en,bhbkenosha?lang=en,info@shopatbhb.com
EyeSeeMe,6951 Olive Boulevard,University City,MO,63130,(314)349-1122,http://www.facebook.com/eyeseeme,eyeseeme_bookstore,eyeseeme,contact@eyeseeme.com
Canterbury Book Store,908 Ludington St,Escanaba,MI,49829,(906)786-0751,https://www.facebook.com/canterburybookstore/,,Canterburybooks,canterburybookstore@gmail.com
"Hedgie’s Books, Toys & More",416 Main Street,Bedford,IA,50833,(712)523-2371,https://www.facebook.com/shophedgies/,,,shophedgies@yahoo.com
Paperbacks and Pieces,429 Mankato Avenue,Winona,MN,55987,(507)452-5580,https://www.facebook.com/paperbacks-and-pieces-92140131983/,pbooks77mn,,pbpieces@hbci.com
Redux Society,215 Southwest Boulevard,Kansas City,MO,64108,,http://facebook.com/reduxsociety,reduxsociety,,lucy@reduxsociety.org
Ferguson Books of Dickinson,32 1st Avenue West,Dickinson,North Dakota,58601-5101,(701)590-0300,http://www.fergusonbooks.com/fergusonbooksdickinson,,,dickinson@fergusonbooks.com
Ferguson Books of West Fargo,300 Sheyenne Street,West Fargo,ND,58078,(701)532-2106,http://www.facebook.com/fergusonbooks,fergusonbooks,FergsBooks,dane@fergusonbooks.com
The Silver Birch Christian Books and Gifts,104 W. Water St.,Decorah,IA,52101,(563)382-4432,https://www.facebook.com/The-Silver-Birch-Christian-Books-and-Gifts-101083739062537,,,silverbirchdecorah@gmail.com
Bookie's Bookstore,18109 Dixie Highway,Homewood,IL,60430,(708)377-0789,https://www.facebook.com/bookieshomewood/,bookieshomewood/?hl=en,BookiesHomewood,keith@bookiesbookstores.com
Zumbrota Literary Society,320 East Avenue,Zumbrota,MN,55992-1538,,http://www.facebook.com/ZumbrotaLiterarySociety,,,anna@gardenpartybooks.com
Zandbroz Variety Sioux Falls,209 S. Phillips Avenue,Sioux Falls,SD,57104,(605)331-5137,https://www.facebook.com/zandbrozvariety/,zandbroz,zandbrozvariety,greg@zandbroz.com
[words],4300 Glumack Dr,St. Paul,MN,55111,(952)454-1719,https://www.facebook.com/wordsatmsp,,,debra@debracadabrainc.com
Ferguson Books of Grand Forks,1720 South Washington Street,Grand Forks,North Dakota,58201,(701)738-8025,http://www.facebook.com/fergusonbooks,fergusonbooks,FergsBooks,dane@fergusonbooks.com
